icao	lat	lon	type	size	fuel	name
GQNH	16.2333	-8.16667	civil	1250	0	Timbedra, Timbedra, Mauritania
GQNI	16.6048	-7.29994	civil	2099	1	Nema, Nema, Mauritania
GQNJ	19.7333	-14.3833	civil	2800	0	Akjoujt, Akjoujt, Mauritania
GQNK	16.15	-13.5167	civil	2509	1	Kaedi, Kaedi, Mauritania
GQNL	17.75	-12.5	civil	1600	0	Letfotar, Moudjeria, Mauritania
GQNM	16.3	-8.05	civil	1100	0	Dahara, Timbedra, Mauritania
GQNN	18.0956	-15.95	civil	3018	1	Nouakchott, Nouakchott, Mauritania
GQNS	15.1833	-12.2	civil	1200	0	Selibabi, Selibabi, Mauritania
GQNT	17.2333	-10.8167	civil	1100	0	Tamchakett, Tamchakett, Mauritania
GQPA	20.5008	-13.0467	civil	3907	1	Atar, Atar, Mauritania
GQPF	22.6667	-12.7333	civil	1800	0	F'derik, F'derik, Mauritania
GQPP	20.9283	-17.0311	civil	2435	1	Nouadhibou, Nouadhibou, Mauritania
GQPT	25.2333	-11.5833	civil	1800	1	Bir Moghrein, Bir Moghrein, Mauritania
GQPZ	22.7581	-12.4686	civil	3700	1	Tazadit, Zoueratt, Mauritania
GRN	-3.90047	141.178	civil	1455	0	Green River, Green River, Papua New Guinea
GRU	40.7506	-73.5045	civil	2012	0	Grumman, Bethpage, New York, United States
GSP	-6.05812	145.964	civil	1600	0	Gusap, Gusap, Papua New Guinea
GSZ	65.4056	-161.277	civil	1196	0	Granite Mountain AS, Granite Mountain, Alaska, United States
GUCY	9.57689	-13.612	civil	3299	1	Gbessia, Conakry, Guinea
GUFA	10.3527	-13.4069	civil	1600	1	Katourou, Fria, Guinea
GUFH	10.006	-10.7602	civil	2315	0	Badala, Faranah, Guinea
GUGO	9.24604	-9.29514	civil	1580	1	Gbenko, Banankoro, Guinea
GUKR	10.651	-14.5336	civil	900	0	Kawass, Kamsar, Guinea
GUKU	9.16937	-10.1218	civil	2000	1	Kissidougou, Kissidougou, Guinea
GULB	11.3261	-12.2868	civil	2003	1	Tata, Labe, Guinea
GUMA	8.48436	-9.53681	civil	1400	0	Macenta, Macenta, Guinea
GUNZ	7.80602	-8.7018	civil	1507	0	Konia, Nzerekore, Guinea
GUOK	10.9561	-14.3069	civil	1555	0	Baralande, Boke, Guinea
GUSB	12.5727	-13.3585	civil	1500	0	Sambailo, Koundara, Guinea
GUSI	11.4011	-9.1868	civil	1400	0	Siguiri, Siguiri, Guinea
GUXD	10.45	-9.23333	civil	2700	1	Diankana, Kankan, Guinea
GUXN	10.376	-9.24514	civil	1700	0	Kankan, Kankan, Guinea
